Auth_ID,Date Authorisation,Cust ID,Amount,Date Procedure,Region,Vulnerable,Notes
9000001,19/05/2020,3710,9.11,12/06/2020,London,FALSE,"Test of delimiter, this should be kept all together"
9000002,19/05/2020,3378,11.65,21/07/2020,West,FALSE,
9000003,19/05/2020,1963,13.52,21/06/2020,West,FALSE,
9000004,19/05/2020,3565,77.57,23/05/2020,East,FALSE,
9000005,19/05/2020,2249,21.37,26/07/2020,East,FALSE,Customer may be vulnerable
9000006,19/05/2020,1669,12.6,26/07/2020,South,FALSE,
9000007,19/05/2020,1589,26.89,11/06/2020,East,FALSE,
9000008,19/05/2020,1596,43.98,16/06/2020,West,FALSE,
9000009,19/05/2020,3507,6.09,06/08/2020,North,FALSE,
9000010,19/05/2020,2543,11.36,27/06/2020,South,FALSE,
9000011,19/05/2020,1455,-3.52,08/06/2020,West,FALSE,
9000012,20/05/2020,3297,-13.68,,East,FALSE,
9000013,20/05/2020,3373,18.55,30/05/2020,North,FALSE,
9000014,20/05/2020,2425,48.01,03/06/2020,West,FALSE,
9000015,20/05/2020,2774,25.45,09/06/2020,South,FALSE,
9000016,20/05/2020,2647,55.81,11/06/2020,West,TRUE,
9000017,20/05/2020,2512,28.91,23/08/2020,West,FALSE,
9000018,20/05/2020,3185,25.48,22/06/2020,West,FALSE,
9000019,20/05/2020,1107,10.21,15/06/2020,West,FALSE,
9000020,20/05/2020,1090,24.37,,East,FALSE,
9000021,20/05/2020,3888,-24,24/07/2020,East,FALSE,
9000022,20/05/2020,1988,0.6,08/08/2020,North,FALSE,
9000023,20/05/2020,2493,-1.66,17/07/2020,North,FALSE,
9000024,20/05/2020,1620,49.47,30/05/2020,South,FALSE,
9000025,20/05/2020,3810,61.75,17/06/2020,West,FALSE,
9000026,20/05/2020,2627,63.88,06/08/2020,South,FALSE,
9000027,,9999,1,12/03/1900,#N/A,#N/A,
9000028,20/05/2020,2861,14,05/06/2020,East,FALSE,
9000029,20/05/2020,1759,26.56,23/07/2020,West,FALSE,
9000030,20/05/2020,1349,16.54,03/08/2020,East,FALSE,
9000031,20/05/2020,3523,42.9,03/06/2020,North,FALSE,
9000032,20/05/2020,3441,77.29,14/07/2020,West,FALSE,
9000033,21/05/2020,3828,31.71,,London,FALSE,
9000034,21/05/2020,3177,35.77,05/06/2020,South,FALSE,
9000035,21/05/2020,3559,25.62,20/08/2020,West,FALSE,
9000036,21/05/2020,1227,18.88,12/06/2020,South,FALSE,
9000037,21/05/2020,1226,17.74,29/07/2020,North,FALSE,
9000038,21/05/2020,2394,8.49,23/05/2020,South,FALSE,
9000039,21/05/2020,1748,-12.67,07/07/2020,West,FALSE,
9000040,21/05/2020,1309,21.78,09/06/2020,London,FALSE,
9000041,21/05/2020,1083,66.89,11/07/2020,London,FALSE,
9000042,21/05/2020,1591,60.97,07/06/2020,North,FALSE,
9000043,21/05/2020,3326,50.76,09/08/2020,North,FALSE,
9000044,21/05/2020,1146,-0.18,20/06/2020,London,FALSE,
