,page_title,article_sentences,page_url
0,Audit trail,"An audit trail (also called audit log) is a security-relevant chronological record, set of records, and/or destination and source of records that provide documentary evidence of the sequence of activities that have affected at any time a specific operation, procedure, or event.",https://en.wikipedia.org/wiki/Audit_trail
1,Audit trail,"Audit records typically result from activities such as financial transactions, scientific research and health care data transactions, or communications by individual people, systems, accounts, or other entities.",https://en.wikipedia.org/wiki/Audit_trail
2,Audit trail,"The process that creates an audit trail is typically required to always run in a privileged mode, so it can access and supervise all actions from all users; a normal user should not be allowed to stop/change it.",https://en.wikipedia.org/wiki/Audit_trail
3,Audit trail,"Furthermore, for the same reason, the trail file or database table with a trail should not be accessible to normal users.",https://en.wikipedia.org/wiki/Audit_trail
4,Audit trail,Another way of handling this issue is through the use of a role-based security model in the software.,https://en.wikipedia.org/wiki/Audit_trail
5,Audit trail,"The software can operate with the closed-looped controls, or as a 'closed system', as required by many companies when using audit trail functionality.",https://en.wikipedia.org/wiki/Audit_trail
6,Audit trail,"Industry uses In telecommunication, the term means a record of both completed and attempted accesses and service, or data forming a logical path linking a sequence of events, used to trace the transactions that have affected the contents of a record.",https://en.wikipedia.org/wiki/Audit_trail
7,Audit trail,"In information or communications security, information audit means a chronological record of system activities to enable the reconstruction and examination of the sequence of events and/or changes in an event.",https://en.wikipedia.org/wiki/Audit_trail
8,Audit trail,Information put away or transmitted in paired structure that might be depended upon in court.,https://en.wikipedia.org/wiki/Audit_trail
9,Audit trail,"An audit trail is a progression of records of computer data about a working framework, an application, or client exercises.",https://en.wikipedia.org/wiki/Audit_trail
10,Audit trail,Computer frameworks may have a few audit trails each gave to a specific sort of action.,https://en.wikipedia.org/wiki/Audit_trail
11,Audit trail,"Related to proper apparatuses and systems, audit trails can help with distinguishing security infringement, execution issues and application issues.",https://en.wikipedia.org/wiki/Audit_trail
12,Audit trail,"Routine log audits and investigation are valuable for distinguishing security episodes, approach infringement, fake movement, and operational issues soon after they have happened, and for giving information valuable to settling such issues.",https://en.wikipedia.org/wiki/Audit_trail
